'tween	在中間
0	零點
1	一
10	十
100	百
1000	一千
10000	萬
1000000	百萬
1000000000	十億
1000000000000	百萬兆
1000th	第一千
100th	第一百
10th	第十
11	十一
11th	第十一
12	十二
12th	第十二
13	十三
13th	第十三
14	十四
144	總數
14th	第十四
15	十五
15 minutes	一刻鐘
15th	第十五
16	十六
16th	第十六
17	十七
17th	第十七
18	十八
18th	第十八
19	十九
1920s	二十幾歲
1960s	六十年代
19th	第十九
1st	開始
1st-class mail	上等
1st class	上等
1st lieutenant	中尉
2	兩個
2-dimensional	兩維的
20	二十
200	立方公分
20th	第二十
24-hour interval	天
2d	秒
2nd	秒
2nd lieutenant	少尉
3	三
30	三十
300	民間護林保土隊
30th	第三十
365 days	普通年
366 days	閏年
3rd	第三人
4	四
4-dimensional	四維的
40	四十
400	激光唱片
40th	第四十
4th	第四
4to	四開
5	五
5-hydroxytryptamine	血清素
50	五十
500	英語字母的第四個字母
50th	第五十
5th	第五
6	六個
60	六十
60 minutes	小時
60th	第六十
6th	第六
7	七
70	七十
70th	第七十
7th	第七
8	八字形
80	八十
80th	第八十
8th	第八
8vo	八開紙
9	九
90	九十
90th	第九十
9th	第九
A-bomb	原子彈
A-one	發球得分
a.k.a.	別名
A/C	空氣調節裝置
a good deal	大量的
a great deal	大量的
a hundred times	百倍地
a la mode	最新的
a trifle	有點
Aaron's rod	火炬
ab initio	最初
abandoned infant	棄兒
abandoned ship	遺棄物
abashed	困窘的
abattis	鹿砦
abaxially	軸外的
ABC	字母系統
ABC's	字母系統
ABCs	字母系統
abdominal cavity	下腹
abdominal delivery	剖腹生產術
abdominal external oblique muscle	傾斜的
abdominal muscle	腹部的
abducens nerve	向外擴展的
abducent nerve	向外擴展的
abducting	向外擴展的
abductor muscle	誘拐者
Abelmoschus esculentus	秋葵
abettal	煽動
ablactate	使斷奶
ablative case	奪格的
abnormalcy	異常
abominable snowman	雪人
abortion-inducing drug	墮胎劑
abounding	大量的
about turn	向後轉
abrase	擦掉
abrasive material	研磨料
abridger	使用縮寫者
Abronia elliptica	雪球
abscondment	拔營
absence seizure	不在
absolute frequency	頻率
absolute pitch	完全音高感
absolutistic	專制主義者
absolved	澄清
absolvitory	寬大的
absorbent material	能吸收的
absquatulate	潛逃
abstract artist	抽象派藝術家
abstract entity	抽象
abstract thought	推論
abstractedness	抽象
abstrusity	深奧難懂
Abudefduf saxatilis	軍士長
aby	補償
abye	補償
Ac	錒
Acacia catechu	兒茶
Acacia dealbata	含羞草
Acacia melanoxylon	引燃用的木材
academic degree	程度
academic session	開會
academic term	開會
Acanthocybium solandri	衛矛
acanthous	棘狀的
acaracide	殺蜘蛛劑
acaridiasis	疥癬
acariosis	疥癬
acataphasia	有組織的
accelerator pedal	加速裝置
acceleratory	加速的
accent mark	重音
accenting	重讀
acceptableness	可接受性
accident surgery	外傷學
accidental injury	傷害
Accipiter gentilis	蒼鷹
acclimate	使適應新環境
acclimatisation	適應環境
acclimatise	使適應新環境
accommodatingly	親切地
accompanying	出席者
accomplished fact	既成事實
accordance of rights	一致
accordion door	折疊門
account book	分類帳
account payable	可付的
account statement	帳單
accounting entry	登錄
accounting system	會計
accruement	堆積
accumbent	靠著的
accumulator register	聚財者
accurse	憎恨
accusing	受格
accusive	受格
accustomed	習慣的
acellular slime mold	黏液菌
Acer pseudoplatanus	小無花果樹
acerate	針狀的
acerate leaf	針
acerbate	使受苦
acerose	針狀的
acetabular	杯狀的
acetate rayon	醋酸鹽
acetonemia	酮血症
acetonuria	酮尿
acetose	產生醋酸的
acetphenetidin	乙醯氧乙苯胺
acetyl group	醋酸基
acetyl radical	醋酸基
acetylsalicylic acid	阿斯匹林
achievability	可達到
aching	渴望
achira	竹芋
achondroplasty	軟骨發育不全
achromasia	青黑色
achromaticity	消色差
achromous	色素缺乏的
Achromycin	四環素
acid precipitation	酸雨
acidify	酸味
acidophilous	嗜酸的
acidulent	酸的
acidulousness	酸性
acinar	腺胞狀的
acinic	腺胞狀的
Acinonyx jubatus	印度豹
acinose	腺胞狀的
Acipenser huso	白色大鰉魚
ack-ack	對付飛機的
ack-ack gun	對付飛機的
acned	有丘疹的
Aconitum lycoctonum	附子草
Aconitum napellus	附子之類的毒草
Acorus calamus	省藤屬植物
acoustic gramophone	留聲機
acoustic projection	發射
acoustic wave	聲波
acquired reflex	條件反射
acres	不動產
acromegalia	肢端肥大症
acromial process	肩峰
across-the-board	包括一切的
across the country	全國性地
across the nation	全國性地
acrylate resin	丙烯酸樹脂
acrylic fiber	丙烯酸樹脂
acrylic paint	丙烯酸樹脂
acrylic resin	丙烯酸樹脂
act involuntarily	自由的
act of terrorism	恐怖主義
act out	制定
act reflexively	自由的
act superior	裝腔作勢
ACTH	促腎上腺皮質激素
actinide	錒射氣
Actinidia chinensis	鷸鴕
Actinidia deliciosa	鷸鴕
actinoid	錒射氣
actinotherapy	放射線療法
action at law	動作
action mechanism	動作
action plant	鳳仙花
action replay	重賽
activated	興奮的
activating	活化
active agent	積極份子
activeness	動作
activewear	運動裝
activistic	激進主義份子
actor's assistant	服裝員
actor's line	演講
actualisation	實現
actualise	領悟
actualize	領悟
actus reus	壞事
acuate	尖銳的
aculeated	有刺的
acupressure	指壓
acute accent	尖銳的
acute anterior poliomyelitis	脊髓灰質炎
acylglycerol	甘油酯
ad-lib	即席寫作
ad agency	廣告公司
ad lib	自然地
ad libitum	自然地
ad val	照價
Adam	狂喜
adamance	冷酷無情
Adansonia digitata	猴麵包樹
adaptative	適合的
adaxially	近軸的
add-in	電路板
add-on	加
add together	總數
addable	可增加的
adding machine	賭金計算器
addle-head	無賴
addlebrained	混沌的
