ກ	A	k
ກໍ	Also	kM
ກໍ່	Really	kM
ກໍ້	Goose	kM
ກໍ່^ຂຶ້ນ	Really^up	kM^khyn
ກໍ^ຈິງ	Yes, indeed.	kM^ching
ກໍ^ຍັງ	Also...	kM^nyng
ກໍ^ດີກວ່າ	That's better.	kM^diikwaa
ກໍ^ດີໃຈ	I'm happy.	kM^diiaych
ກໍ^ໄດ້	Yes, yes.	kM^aid
ກໍ^ບໍຣິສຸດ	Oh, my God.	kM^bMrisud
ກໍ^ພໍ	That's enough.	kM^phM
ກໍ^ພາ	Go^pa	kM^phaa
ກໍ^ໜາມ	Go^thorn	kM^hnaam
ກໍ^ຮູ້	I know.	kM^uu
ກໍ^ແຮງ	It's strong.	kM^eing
ກໍ^ແຮ່ງ	Yes, even more.	kM^eing
ກໍ່ກວນ	Harassment	kMkwn
ກຈກ	KJK	kchk
ກໍຈະ	It will be	kMcha
ກສ	Ks	ks
ກໍ່ສ້າງ	Construction	kMsaang
ກໍຊ່າງເຖາະ	It's a shame.	kMsaangethaaa
ກໍຊົງ	Yes, it is.	kMsong
ກໍດີ	Okay.	kMdii
ກໍດີກວ່າ	It's better.	kMdiikwaa
ກໍໄດ້	Yes.	kMaid
ກໍໄດ້^ໄປ	Yes, go.	kMaid^aip
ກໍຕາມ	Anyway	kMhaam
ກໍ່ຕົວ	Build yourself	kMhow
ກໍເປັນ	It is.	kMepn
ກໍເພີ່ມ	Also add	kMephiim
ກໍ່ໄຟ	Build a fire	kMaif
ກໍມິດ^ເສີຍ	Goodbye.	kMmid^esiiny
ກໍມີ	There is.	kMmii
ກໍຢ່າ	Don't.	kMyaa
ກໍຢູ່	Yes, there is.	kMyuu
ກຣທ	Greek	krth
ກຣິກ	Greek	krik
ກຣີກ	Greek	kriik
ກໍຣຽນເດ	Gorienda	kMrnyned
ກໍລະນີ	Case	kMlanii
ກໍລະນີ^ໃດ	In which case?	kMlanii^ayd
ກລາວດີໂອລີເຊຍ	Claudia Olesia	klaawdiio`liiesny
ກໍ່ເລື່ອງ	Make a story	kMelyy`ng
ກວຍ	Bowl	kwny
ກວດ	Check	kwd
ກວດກາ	Check	kwdkaa
ກວດກາ^ເບິ່ງ	Check.	kwdkaa^ebing
ກວດນັບ	Count	kwdnb
ກວດເບິ່ງ	Check	kwdebing
ກວນ	bother	kwn
ກວນ^ໃຈ	Disturbing	kwn^aych
ກວນໃຈ	Disturbing	kwnaych
ກວມ	Cover	kwm
ກວມເອົາ	Cover	kwme`oaa
ກວັກ	Quack	kwk
ກວ່າ	than	kwaa
ກ່ວາ	than	kwaa
ກວ່າ^ຄຳ	Than^gold	kwaa^kham
ກວ່າ^ຕົນ	More than one	kwaa^hon
ກວ່າ^ພະ	Than^Pra	kwaa^pha
ກວ່າ^ລິດ	More than ^ liters	kwaa^lid
ກວ່າ^ໂລກາ	More than the world	kwaa^olkaa
ກວ່າ^ໜຶ່ງ	More than one	kwaa^hnyng
ກວ່າກັນ	More than each other	kwaakn
ກວ່າເກົ່າ	More than ever	kwaaekoaa
ກວາງ	Deer	kwaang
ກວ້າງ	Wide	kwaang
ກວ້າງໄກ	Wide and wide	kwaangaik
ກວ້າງຂວາງ	Wide	kwaangkhwaang
ກວາງນ້ອຍ	Little deer	kwaangn`ny
ກວາງແມ່	Mother deer	kwaangeim
ກວາງໜຸ່ມ	Young deer	kwaanghnum
ກວາງໜຸ່ມເຖິກ	Young male deer	kwaanghnumethik
ກວ້າງໃຫຍ	Large	kwaangayhny
ກວ້າງໃຫຍ່	Large	kwaangayhny
ກວ້າງໃຫຍ່^ໄພສານ	Wide, spacious	kwaangayhny^aiphsaan
ກວາດ	Sweep	kwaad
ກວາດຕ້ອນ	Sweep and sweep	kwaadh`n
ກວາດໄປ	Sweep away	kwaadaip
ກວາດລ້າງ	Sweep and wash	kwaadlaang
ກວາດອອກ	Sweep out	kwaad``k
ກວາດເອົາ	Sweep	kwaade`oaa
ກວ່າໝູ່	Better than friends	kwaahmuu
ກວ່າໝູ່ໝົດ	More than all friends	kwaahmuuhmod
ກວຽນ	Cart	kwnyn
ກໍເວົ້າ	Say it.	kMewoaa
ກໍຫຍ້າ	Grass	kMhnyaa
ກໍ່ເຫດ	Cause	kMehd
ກອກເທດ	Olive	k`kethd
ກອງ	Guard	k`ng
ກ່ອງ	Box	k`ng
ກ້ອງ	Camera	k`ng
ກ້ອງ^ກັງວານ	Camera ^ camera	k`ng^kngwaan
ກອງ^ກັນ	Guard	k`ng^kn
ກອງ^ຂີ້ເຫຍື້ອ	Garbage dump	k`ng^khiiehnyyy`
ກອງ^ສູງ	High guard	k`ng^suung
ກອງ^ສູງໆ	Very tall.	k`ng^suung+
ກອງ^ເສດເຫລືອ^ໝໍ້	Waste container	k`ng^esdehlyy`^hmM
ກອງ^ຊາກສົບ	Corpse pile	k`ng^saaksob
ກອງ^ດູລິຍາງ	Drums	k`ng^duulinyaang
ກ້ອງ^ໂຕະ	Camera ^ table	k`ng^oha
ກອງ^ທະຫານ	Army	k`ng^thahaan
ກ່ອງ^ແບບ	Box^style	k`ng^eibb
