a	累加器
A level	英國
a posteriori	後驗的
a priori	由因及果的
a-	不
A-bomb	原子彈
A-frame	型架
a.m.	上午
a/c	公元前
aa	絕對地址
AAM	空對空導彈
aardvark	土豚
aardwolf	土狼
ab	從
ab initio	從頭開始
ab ovo	自始
ab-	離
abaca	馬尼拉麻
aback	向後
abacus	算盤
Abaddon	亞巴頓
abaft	在船尾
abalone	鮑
abandon	放棄
abandoned	被拋棄的
abandonment	放棄
abase	降低
abasement	貶抑
abash	使不安
abate	減少
abatement	減少
abatis	鹿砦
abattoir	屠場
abaxial	離開軸心的
Abba	阿爸父
abbatial	修道院的
abbey	大修道院
abbreviate	縮寫
abbreviated	縮寫的
abbreviation	縮寫詞
ABC	預定章程
abdicate	正式放棄
abdication	遜位
abdomen	腹部
abdominal	腹部的
abduct	誘拐
abduction	誘拐
abductor	誘拐者
abeam	正橫
abecedarian	字母的
abed	在床上
abele	銀白楊
aberrant	偏離正路的
aberration	離開正路
abet	教唆
abeyance	中止
abhor	憎惡
abhorrence	厭惡
abhorrent	令人憎恨的
abide	停留
abiding	永久的
abigail	貼身使女
ability	能力
abiogenesis	自然發生論
abiotic	無生命的
abject	絕望無助的
abjure	發誓斷絕
ablation	腐蝕
ablative	奪格的
ablaut	元音交替
ablaze	著火的
able	能幹的
able-bodied	強壯的
able-bodied seaman	合格水手
abloom	開著花
ablush	臉紅的
ablution	洗澡
ably	能幹地
ABM	反彈道導彈
abnegate	放棄
abnegation	放棄
abnormal	反常的
abnormality	反常
Abo	分型法
aboard	在船上
abode	住所
abolish	廢止
abolition	廢除
abolitionist	廢除主義者
abomasum	皺胃
abominable	討厭的
abominably	可惡地
abominate	厭惡
abomination	厭惡
aboral	離口的
aboriginal	原始的
aborigine	土著
abort	流產
abortifacient	墮胎藥
abortion	流產
abortionist	為人墮胎者
abortive	流產的
abortus fever	流產熱
abound	大量存在
about	在
about-turn	向後轉
above	在上方
above board	公開地
abracadabra	咒語
abrade	擦傷
abrasion	磨擦
abrasive	研磨料
abreact	發洩
abreaction	精神發洩
abreast	並肩地
abridge	縮短
abridgement	節本
abroad	往國外
abrogate	廢除
abrogation	廢除
abrupt	突然的
abruption	突然分離
ABS	絕對
abscess	膿腫
abscisic acid	脫落酸
abscissa	橫坐標
abscission	切斷
abscond	潛逃
absence	缺席
absent	缺席的
absent-minded	心不在焉的
absentee	缺席者
absentee landlord	不在地主
absently	心不在焉地
absinth	艾酒
absolute	絕對的
absolute advantage	絕對有利
absolute alcohol	無水酒精
absolute magnitude	絕對量
absolute majority	絕對多數
absolute music	純音樂
absolute temperature	絕對溫度
absolute title	絕對所有權
absolute unit	絕對單位
absolute value	絕對值
absolute zero	絕對零度
absolutely	完全地
absolution	免罪
absolutism	專制主義
absolve	宣告
absonant	不協調的
absorb	吸收
absorbance	吸光率
absorbed dose	吸收劑量
absorbent	能吸收的
absorbent cotton	脫脂棉
absorbing	吸引人的
absorptiometer	調液厚器
absorption	吸收
absorption costing	歸納
absorption spectrum	吸收光譜
absquatulate	逃走
abstain	自制
abstemious	有節制的
abstention	戒絕
abstinence	節制
abstinent	有節制的
abstract	抽象的
abstract of title	產權簡史
abstracted	心不在焉的
abstraction	抽象化
abstractionism	抽象派
abstruse	難解的
absurd	荒謬的
absurdism	荒誕主義
absurdity	荒謬
absurdly	荒謬地
abulia	意志缺失
abundance	豐富
abundant	豐富的
abundantly	大量地
abuse	濫用
abusive	惡言謾罵的
abut	鄰接
abutment	鄰接
abutter	毗鄰業主
abuzz	嗡嗡的
abysmal	深不可測的
abyss	深淵
abyssal	深不可測的
Abyssinia	阿比西尼亞
Ac	公元前
AC/DC	交直流
acacia	洋槐
academia	學術界
academic	學院的
academician	學會會員
academy	學院
Academy Award	奧斯卡獎
acalculia	計算不能
Acanthocephala	棘頭綱
acanthus	葉形裝飾
accede	同意
accelerant	促進劑
accelerate	加速
acceleration	加速
accelerator	加速劑
accelerator board	加速板
accelerometer	加速度計
accent	重音
accentor	鳴禽
accentuate	以重音念
accentuation	重讀
accept	接受
acceptable	可接受的
acceptance	接受
acceptant	接受的
accepted	公認的
acceptor	接受者
access	通路
access time	存取時間
accessible	易接近的
accession	到達
accessorize	附加
accessory	附件
accidence	詞態變化
accident	意外事件
accident-prone	易出事故的
accidental	意外的
accidentally	偶然地
accidie	倦怠
accipiter	鷹屬禽鳥
acclaim	喝彩
acclamation	歡呼
acclimate	使適應
acclivity	上坡
accolade	榮譽
accommodate	使適應
accommodating	與人方便的
accommodation	膳宿
accommodation ladder	舷梯
accommodationist	妥協遷就者
accompaniment	伴隨物
accompanist	伴奏者
accompany	陪伴
accomplice	共犯
accomplish	完成
accomplished	完成的
accomplishment	成就
accord	一致
accordance	一致
accordant	一致的
according	相符的
accordingly	相應地
accordion	手風琴
accost	招呼
accouchement	分娩
accoucheur	男助產士
account	報告
account executive	客戶執行人
account rendered	報帳
accountability	負有責任
accountable	負有責任的
accountancy	會計工作
accountant	會計人員
accounting	會計學
accounts payable	應付帳款
accounts receivable	應收帳款
accoutre	供以服裝
accoutrement	裝備
accra	阿克拉
accredit	信託
accrete	連生
accretion	自然增大
accrue	自然增加
accumbent	橫臥的
accumulate	積聚
accumulation	積聚
accumulative	積聚而成的
accumulator	積聚者
accuracy	精確
accurate	正確的
accursed	被咒的
accurst	被咒的
accusation	控告
accusative	賓格的
accusatory	控訴的
accuse	指責
accusing	指責的
accustom	使習慣于
accustomed	慣常的
ace	么點
Ace bandage	布織繃帶
acedia	倦怠
acentric	無中心的
acephalous	無頭的
acerb	酸澀的
acerbic	酸的
acetabulum	髖臼
acetal	乙縮醛
acetaldehyde	乙醛
acetate	醋酸鹽
acetic	醋的
acetic acid	乙酸
acetobacter	醋酸桿菌屬
acetonaemia	丙酮血
acetone	丙酮
acetous	醋的
acetylene	乙炔
acetylide	乙炔化物
Achaean	亞加亞的
achalasia	弛緩不能
Achates	阿凱提斯
ache	疼痛
achene	瘦果
Acheron	冥河
achieve	完成
achievement	完成
achillea	歐蓍草
Achilles	阿喀琉斯
Achilles tendon	跟腱
aching	疼痛的
achiral	非手性
achlorhydria	胃酸缺乏
achromat	消色差透鏡
achromatic	無色的
achromatic lens	消色差透鏡
achy	疼痛的
acicular	針形的
