a	eɪ	-ā	ㄝㄧ	累加器
A level	ə ˈlɛvl	ə- -l-é-v-l	ㄦ ㄌㄜㄈㄌ	英國
a posteriori	ə posteriori	ə- -p-o-s-t-e-r-ē-o-r-ē	ㄦ ㄅㄛㄙㄉㄝㄖㄧㄛㄖㄧ	後驗的
a priori	eɪ praɪˈɔːraɪ	ā- -p-r-ī-ô-r-ī	ㄝㄧ ㄅㄖㄚㄧㄛㄖㄚㄧ	由因及果的
a-	eɪ-	ā	ㄝㄧ-	不
A-bomb	ˈeɪbɒm	ā-b-o-m	ㄝㄧㄅㄛㄇ	原子彈
A-frame	ə-freɪm	ə-f-r-ā-m	ㄦ-ㄈㄖㄝㄧㄇ	型架
a.m.	eɪ.ɛm.	ā-.-é-m-.	ㄝㄧ.ㄜㄇ.	上午
a/c	eɪ/siː	-ā-/-s-ē-	ㄝㄧ/ㄙㄧ	公元前
aa	aa	aa	ㄚㄚ	絕對地址
AAM	eɪ-eɪ-ɛm	-ā-ā-é-m-	ㄝㄧ-ㄝㄧ-ㄜㄇ	空對空導彈
aardvark	aardvark	aa-r-d-v-a-r-k	ㄚㄚㄖㄉㄈㄚㄖㄍ	土豚
aardwolf	ˈɑːdwʊlf	ä-d-w-oo-l-f	ㄚㄉㄨㄡㄌㄈ	土狼
ab	æb	a-b	ㄚㄅ	從
ab initio	æb initio	a-b- -ē-n-ē-t-ē-o	ㄚㄅ ㄧㄋㄧㄉㄧㄛ	從頭開始
ab ovo	æb ovo	-a-b- o-v-o	ㄚㄅ ㄛㄈㄛ	自始
ab-	æb-	-a-b	ㄚㄅ-	離
abaca	ˈæbəkə	a-b-ə-k-ə	ㄚㄅㄦㄍㄦ	馬尼拉麻
aback	əˈbæk	ə-b-a-k	ㄦㄅㄚㄍ	向後
abacus	ˈæbəkəs	a-b-ə-k-ə-s	ㄚㄅㄦㄍㄦㄙ	算盤
Abaddon	əˈbædən	ə-b-a-d-ə-n	ㄦㄅㄚㄉㄣ	亞巴頓
abaft	əˈbɑːft	ə-b-ä-f-t-	ㄦㄅㄚㄈㄉ	在船尾
abalone	abalone	a-b-a-l-o-n-e	ㄚㄅㄚㄌㄛㄋㄝ	鮑
abandon	əˈbændən	-ə-b-a-n-d-ə-n	ㄦㄅㄚㄋㄉㄣ	放棄
abandoned	əˈbændənd	ə-b-a-n-d-ə-n-d	ㄦㄅㄚㄋㄉㄣㄉ	被拋棄的
abandonment	əˈbændənmənt	ə-b-a-n-d-ə-n-m-ə-n-t	ㄦㄅㄚㄋㄉㄣㄇㄣㄉ	放棄
abase	əˈbeɪs	ə-b-ā-s	ㄦㄅㄝㄧㄙ	降低
abasement	əˈbeɪsmənt	ə-b-ā-s-m-ə-n-t	ㄦㄅㄝㄧㄙㄇㄣㄉ	貶抑
abash	əˈbæʃ	ə-b-a-sh	ㄦㄅㄚㄕ	使不安
abate	əˈbeɪt	ə-b-ā-t	ㄦㄅㄝㄧㄉ	減少
abatement	əˈbeɪtmənt	ə-b-ā-t-m-ə-n-t	ㄦㄅㄝㄧㄉㄇㄣㄉ	減少
abatis	ˈæbətɪs	a-b-ə-t-i-s	ㄚㄅㄦㄉㄧㄙ	鹿砦
abattoir	ˈæbətwɑː	a-b-ə-t-w-ä-	ㄚㄅㄦㄉㄨㄚ	屠場
abaxial	abaxial	a-b-ax-ē-a-l	ㄚㄅㄚㄏㄧㄚㄌ	離開軸心的
Abba	ˈæbə	a-b-ə-	ㄚㄅㄦ	阿爸父
abbatial	abbatial	a-b-b-a-t-ē-a-l	ㄚㄅㄅㄚㄉㄧㄚㄌ	修道院的
abbey	ˈæbi	a-b-ē	ㄚㄅㄧ	大修道院
abbreviate	əˈbriːvɪeɪt	ə-b-r-ē-v-i-ā-t	ㄦㄅㄖㄧㄈㄧㄝㄧㄉ	縮寫
abbreviated	əˈbriːvɪeɪtɪd	ə-b-r-ē-v-i-ā-t-i-d	ㄦㄅㄖㄧㄈㄧㄝㄧㄉㄧㄉ	縮寫的
abbreviation	əˌbriːvɪˈeɪʃ(ə)n	ə-b-r-ē-v-i-ā-sh-ə--n	ㄦㄅㄖㄧㄈㄧㄝㄧㄕㄦㄋ	縮寫詞
ABC	ˈeɪbiːˈsiː	ā-b-ē-s-ē	ㄝㄧㄅㄧㄙㄧ	預定章程
abdicate	ˈæbdɪkeɪt	a-b-d-i-k-ā-t	ㄚㄅㄉㄧㄍㄝㄧㄉ	正式放棄
abdication	ˌæbdɪˈkeɪʃ(ə)n	a-b-d-i-k-ā-sh-ə--n	ㄚㄅㄉㄧㄍㄝㄧㄕㄦㄋ	遜位
abdomen	ˈæbdəmɛn	a-b-d-ə-m-é-n	ㄚㄅㄉㄦㄇㄜㄋ	腹部
abdominal	æbˈdɒmɪnl	a-b-d-o-m-i-n-l	ㄚㄅㄉㄛㄇㄧㄋㄌ	腹部的
abduct	æbˈdʌkt	a-b-d-u-k-t	ㄚㄅㄉㄨㄍㄉ	誘拐
abduction	æbˈdʌkʃ(ə)n	a-b-d-u-k-sh-ə--n	ㄚㄅㄉㄨㄍㄕㄦㄋ	誘拐
abductor	æbˈdʌktə	a-b-d-u-k-t-ə	ㄚㄅㄉㄨㄍㄉㄦ	誘拐者
abeam	əˈbiːm	ə-b-ē-m	ㄦㄅㄧㄇ	正橫
abecedarian	ˌeɪbi(ː)si(ː)ˈdeərɪən	ā-b-ē---s-ē---d-ã-r-ē-ə-n	ㄝㄧㄅㄧㄙㄧㄉㄝㄦㄖㄧㄣ	字母的
abed	əˈbɛd	ə-b-é-d-	ㄦㄅㄜㄉ	在床上
abele	abele	a-b-e-l-e	ㄚㄅㄝㄌㄝ	銀白楊
aberrant	æˈbɛrənt	-a-b-é-r-ə-n-t	ㄚㄅㄜㄖㄣㄉ	偏離正路的
aberration	ˌæbəˈreɪʃ(ə)n	a-b-ə-r-ā-sh-ə--n	ㄚㄅㄦㄖㄝㄧㄕㄦㄋ	離開正路
abet	əˈbɛt	ə-b-é-t	ㄦㄅㄜㄉ	教唆
abeyance	əˈbeɪəns	ə-b-ā-ə-n-s	ㄦㄅㄝㄧㄣㄙ	中止
abhor	əbˈhɔː	ə-b-h-ô	ㄦㄅㄏㄛ	憎惡
abhorrence	əbˈhɒrəns	ə-b-h-o-r-ə-n-s	ㄦㄅㄏㄛㄖㄣㄙ	厭惡
abhorrent	əbˈhɒrənt	ə-b-h-o-r-ə-n-t	ㄦㄅㄏㄛㄖㄣㄉ	令人憎恨的
abide	əˈbaɪd	ə-b-ī-d	ㄦㄅㄚㄧㄉ	停留
abiding	əˈbaɪdɪŋ	ə-b-ī-d-i-ng-	ㄦㄅㄚㄧㄉㄧㄥ	永久的
abigail	abigail	a-b-ē-g-a-ē-l	ㄚㄅㄧㄍㄞㄌ	貼身使女
ability	əˈbɪlɪti	ə-b-i-l-i-t-ē-	ㄦㄅㄧㄌㄧㄉㄧ	能力
abiogenesis	abiogenesis	a-b-ē-o-g-e-n-e-s-ē-s	ㄚㄅㄧㄛㄍㄝㄋㄝㄙㄧㄙ	自然發生論
abiotic	ˌeɪbaɪˈɒtɪk	ā-b-ī-o-t-i-k	ㄝㄧㄅㄚㄧㄛㄉㄧㄍ	無生命的
abject	ˈæbʤɛkt	a-b-y-é-k-t	ㄚㄅㄓㄜㄍㄉ	絕望無助的
abjure	əbˈʤʊə	ə-b-y-ü-ə	ㄦㄅㄓㄡㄦ	發誓斷絕
ablation	æbˈleɪʃ(ə)n	a-b-l-ā-sh-ə--n	ㄚㄅㄌㄝㄧㄕㄦㄋ	腐蝕
ablative	ˈæblətɪv	a-b-l-ə-t-i-v	ㄚㄅㄌㄦㄉㄧㄈ	奪格的
ablaut	ˈæblaʊt	a-b-l-o-w-t	ㄚㄅㄌㄚㄡㄉ	元音交替
ablaze	əˈbleɪz	ə-b-l-ā-z	ㄦㄅㄌㄝㄧㄗ	著火的
able	ˈeɪbl	ā-b-l	ㄝㄧㄅㄌ	能幹的
able-bodied	ˈeɪblˈbɒdɪd	ā-b-l-b-o-d-i-d	ㄝㄧㄅㄌㄅㄛㄉㄧㄉ	強壯的
able-bodied seaman	ˈeɪblˈbɒdɪd ˈsiːmən	ā-b-l-b-o-d-i-d- -s-ē-m-ə-n	ㄝㄧㄅㄌㄅㄛㄉㄧㄉ ㄙㄧㄇㄣ	合格水手
abloom	əˈbluːm	ə-b-l-ū-m	ㄦㄅㄌㄨㄇ	開著花
ablush	əˈblʌʃ	ə-b-l-u-sh	ㄦㄅㄌㄨㄕ	臉紅的
ablution	əˈbluːʃ(ə)n	ə-b-l-ū-sh-ə--n	ㄦㄅㄌㄨㄕㄦㄋ	洗澡
ably	ˈeɪbli	ā-b-l-ē	ㄝㄧㄅㄌㄧ	能幹地
ABM	eɪ-biː-ɛm	ā-b-ē-é-m	ㄝㄧ-ㄅㄧ-ㄜㄇ	反彈道導彈
abnegate	ˈæbnɪgeɪt	a-b-n-i-g-ā-t	ㄚㄅㄋㄧㄍㄝㄧㄉ	放棄
abnegation	ˌæbnɪˈgeɪʃ(ə)n	a-b-n-i-g-ā-sh-ə--n	ㄚㄅㄋㄧㄍㄝㄧㄕㄦㄋ	放棄
abnormal	æbˈnɔːməl	a-b-n-ô-m-ə-l	ㄚㄅㄋㄛㄇㄦㄌ	反常的
abnormality	ˌæbnɔːˈmælɪti	a-b-n-ô-m-a-l-i-t-ē-	ㄚㄅㄋㄛㄇㄚㄌㄧㄉㄧ	反常
Abo	Abo	A-b-o	Aㄅㄛ	分型法
aboard	əˈbɔːd	-ə-b-ô-d	ㄦㄅㄛㄉ	在船上
abode	əˈbəʊd	ə-b-ə-oo-d	ㄦㄅㄦㄡㄉ	住所
abolish	əˈbɒlɪʃ	ə-b-o-l-i-sh	ㄦㄅㄛㄌㄧㄕ	廢止
abolition	ˌæbəʊˈlɪʃ(ə)n	a-b-ə-oo-l-i-sh-ə--n	ㄚㄅㄦㄡㄌㄧㄕㄦㄋ	廢除
abolitionist	ˌæbəʊˈlɪʃ(ə)nɪst	a-b-ə-oo-l-i-sh-ə--n-i-s-t-	ㄚㄅㄦㄡㄌㄧㄕㄦㄋㄧㄙㄉ	廢除主義者
abomasum	abomasum	a-b-o-m-a-s-ū-m	ㄚㄅㄛㄇㄚㄙㄨㄇ	皺胃
abominable	əˈbɒmɪnəbl	ə-b-o-m-i-n-ə-b-l	ㄦㄅㄛㄇㄧㄋㄦㄅㄌ	討厭的
abominably	əˈbɒmɪnəbli	ə-b-o-m-i-n-ə-b-l-ē	ㄦㄅㄛㄇㄧㄋㄦㄅㄌㄧ	可惡地
abominate	əˈbɒmɪneɪt	ə-b-o-m-i-n-ā-t	ㄦㄅㄛㄇㄧㄋㄝㄧㄉ	厭惡
abomination	əˌbɒmɪˈneɪʃ(ə)n	ə-b-o-m-i-n-ā-sh-ə--n-	ㄦㄅㄛㄇㄧㄋㄝㄧㄕㄦㄋ	厭惡
aboral	aboral	a-b-o-r-a-l	ㄚㄅㄛㄖㄚㄌ	離口的
aboriginal	ˌæbəˈrɪʤənl	a-b-ə-r-i-y-ə-n-l	ㄚㄅㄦㄖㄧㄓㄣㄌ	原始的
aborigine	ˌæbəˈrɪʤəni	a-b-ə-r-i-y-ə-n-ē	ㄚㄅㄦㄖㄧㄓㄣㄧ	土著
abort	əˈbɔːt	ə-b-ô-t-	ㄦㄅㄛㄉ	流產
abortifacient	abortifacient	a-b-o-r-t-ē-f-ac-ē-e-n-t	ㄚㄅㄛㄖㄉㄧㄈㄚㄕㄧㄝㄋㄉ	墮胎藥
abortion	əˈbɔːʃ(ə)n	ə-b-ô-sh-ə--n	ㄦㄅㄛㄕㄦㄋ	流產
abortionist	əˈbɔːʃ(ə)nɪst	ə-b-ô-sh-ə--n-i-s-t	ㄦㄅㄛㄕㄦㄋㄧㄙㄉ	為人墮胎者
abortive	əˈbɔːtɪv	ə-b-ô-t-i-v-	ㄦㄅㄛㄉㄧㄈ	流產的
abortus fever	abortus ˈfiːvə	a-b-o-r-t-ū-s- -f-ē-v-ə	ㄚㄅㄛㄖㄉㄨㄙ ㄈㄧㄈㄦ	流產熱
abound	əˈbaʊnd	ə-b-o-w-n-d	ㄦㄅㄚㄡㄋㄉ	大量存在
about	əˈbaʊt	ə-b-o-w-t	ㄦㄅㄚㄡㄉ	在
about-turn	əˈbaʊt-tɜːn	ə-b-o-w-t-t-û-n	ㄦㄅㄚㄡㄉ-ㄉㄦㄋ	向後轉
above	əˈbʌv	ə-b-u-v	ㄦㄅㄨㄈ	在上方
above board	əˈbʌv bɔːd	ə-b-u-v- -b-ô-d	ㄦㄅㄨㄈ ㄅㄛㄉ	公開地
abracadabra	ˌæbrəkəˈdæbrə	a-b-r-ə-k-ə-d-a-b-r-ə	ㄚㄅㄖㄦㄍㄦㄉㄚㄅㄖㄦ	咒語
abrade	əˈbreɪd	ə-b-r-ā-d	ㄦㄅㄖㄝㄧㄉ	擦傷
abrasion	əˈbreɪʒən	ə-b-r-ā-zh-ə-n	ㄦㄅㄖㄝㄧㄓㄣ	磨擦
abrasive	əˈbreɪsɪv	ə-b-r-ā-s-i-v-	ㄦㄅㄖㄝㄧㄙㄧㄈ	研磨料
abreact	abreact	a-b-r-eac-t-	ㄚㄅㄖㄝㄚㄕㄉ	發洩
abreaction	abreaction	a-b-r-eac-t-ē-o-n	ㄚㄅㄖㄝㄚㄕㄉㄧㄛㄋ	精神發洩
abreast	əˈbrɛst	ə-b-r-é-s-t	ㄦㄅㄖㄜㄙㄉ	並肩地
abridge	əˈbrɪʤ	ə-b-r-i-y	ㄦㄅㄖㄧㄓ	縮短
abridgement	əˈbrɪʤmənt	ə-b-r-i-y-m-ə-n-t	ㄦㄅㄖㄧㄓㄇㄣㄉ	節本
abroad	əˈbrɔːd	ə-b-r-ô-d	ㄦㄅㄖㄛㄉ	往國外
abrogate	ˈæbrəʊgeɪt	a-b-r-ə-oo-g-ā-t	ㄚㄅㄖㄦㄡㄍㄝㄧㄉ	廢除
abrogation	ˌæbrəʊˈgeɪʃ(ə)n	a-b-r-ə-oo-g-ā-sh-ə--n	ㄚㄅㄖㄦㄡㄍㄝㄧㄕㄦㄋ	廢除
abrupt	əˈbrʌpt	ə-b-r-u-p-t	ㄦㄅㄖㄨㄅㄉ	突然的
abruption	əˈbrʌpʃ(ə)n	ə-b-r-u-p-sh-ə--n	ㄦㄅㄖㄨㄅㄕㄦㄋ	突然分離
ABS	æbz	a-b-z	ㄚㄅㄗ	絕對
abscess	ˈæbsɪs	a-b-s-i-s-	ㄚㄅㄙㄧㄙ	膿腫
abscisic acid	abscisic ˈæsɪd	a-b-s-c-ē-s-ē-c -a-s-i-d	ㄚㄅㄙㄕㄧㄙㄧㄕ ㄚㄙㄧㄉ	脫落酸
abscissa	æbˈsɪsə	a-b-s-i-s-ə	ㄚㄅㄙㄧㄙㄦ	橫坐標
abscission	æbˈsɪʒən	a-b-s-i-zh-ə-n	ㄚㄅㄙㄧㄓㄣ	切斷
abscond	əbˈskɒnd	ə-b-s-k-o-n-d	ㄦㄅㄙㄍㄛㄋㄉ	潛逃
absence	ˈæbsəns	a-b-s-ə-n-s	ㄚㄅㄙㄣㄙ	缺席
absent	ˈæbsənt	a-b-s-ə-n-t	ㄚㄅㄙㄣㄉ	缺席的
absent-minded	ˈæbsəntˈmaɪndɪd	a-b-s-ə-n-t-m-ī-n-d-i-d	ㄚㄅㄙㄣㄉㄇㄚㄧㄋㄉㄧㄉ	心不在焉的
absentee	ˌæbsənˈtiː	a-b-s-ə-n-t-ē	ㄚㄅㄙㄣㄉㄧ	缺席者
absentee landlord	ˌæbsənˈtiː ˈlænlɔːd	a-b-s-ə-n-t-ē- -l-a-n-l-ô-d	ㄚㄅㄙㄣㄉㄧ ㄌㄚㄋㄌㄛㄉ	不在地主
absently	ˈæbsəntli	a-b-s-ə-n-t-l-ē	ㄚㄅㄙㄣㄉㄌㄧ	心不在焉地
absinth	ˈæbsɪnθ	a-b-s-i-n-th	ㄚㄅㄙㄧㄋㄊ	艾酒
absolute	ˈæbsəluːt	a-b-s-ə-l-ū-t	ㄚㄅㄙㄦㄌㄨㄉ	絕對的
absolute advantage	ˈæbsəluːt ədˈvɑːntɪʤ	a-b-s-ə-l-ū-t- -ə-d-v-ä-n-t-i-y	ㄚㄅㄙㄦㄌㄨㄉ ㄦㄉㄈㄚㄋㄉㄧㄓ	絕對有利
absolute alcohol	ˈæbsəluːt ˈælkəhɒl	a-b-s-ə-l-ū-t- -a-l-k-ə-h-o-l	ㄚㄅㄙㄦㄌㄨㄉ ㄚㄌㄍㄦㄏㄛㄌ	無水酒精
absolute magnitude	ˈæbsəluːt ˈmægnɪtjuːd	a-b-s-ə-l-ū-t- -m-a-g-n-i-t-yü-d	ㄚㄅㄙㄦㄌㄨㄉ ㄇㄚㄍㄋㄧㄉㄡㄨㄉ	絕對量
absolute majority	ˈæbsəluːt məˈʤɒrɪti	a-b-s-ə-l-ū-t- -m-ə-y-o-r-i-t-ē	ㄚㄅㄙㄦㄌㄨㄉ ㄇㄦㄓㄛㄖㄧㄉㄧ	絕對多數
