yang	which
dan	and
itu	that
orang	person
di	in
mereka	them
kepada	to
akan	will
dari	from
tidak	no
dengan	with
untuk	for
ke	to
kamu	you
dalam	deep
ia	it
ini	this
telah	has
kita	us
aku	me
anak	child
berkata	said
ada	there is
sudah	already
karena	because
seperti	like
pada	on
menjadi	to be
bahwa	that
kami	us
juga	also
engkau	you
raja	king
semua	all
dia	him/her
saya	me
kalian	you guys
oleh	by
tetapi	but
supaya	so that
seorang	one
bangsa	race
hari	day
kota	city
harus	must
atas	top
apa	what
lagi	again
datang	come
hidup	live
adalah	is
lalu	then
segala	everything
hal	thing
lain	other
dapat	can
sampai	until
atau	or
tempat	place
waktu	time
sebab	reason
baik	good
pun	too
melihat	see
sama	same
bagi	for
laki	man
sendiri	myself
maka	then
banyak	many
pergi	go
sebagai	as
kepadamu	to you
tentang	about
mati	dead
para	the
rumah	house
bersama	together
satu	one
kepadanya	to him/her
Daud	David
tanah	land
sehingga	until
hati	heart
mau	want
kembali	return
antara	between
melakukan	do
seluruh	all over
imam	priest
negeri	state
kata	word
saudara	brother
besar	big
lebih	more
Yerusalem	Jerusalem
manusia	human
membuat	make
dua	two
diri	self
tak	no
tahu	know
perempuan	female
benar	true
percaya	believe
Musa	Moses
terhadap	against
umat	people
dosa	sin
saja	only
sekarang	now
bukan	not
setiap	every
mendengar	listen
tinggal	stay
membawa	bring
hamba	servant
yaitu	namely
kalau	if
memberi	give
jahat	evil
masing	each
Yehuda	Judah
tahun	year
sangat	very
sana	there
mempunyai	have
air	water
bumi	earth
hanya	only
makan	eat
tengah	middle
sedang	medium
selama	during
Mesir	Egypt
dunia	world
masih	still
murid	student
nama	name
puluh	ten
ketika	when
kedua	second
nabi	prophet
kepala	head
firman	word
domba	sheep
batu	stone
serta	as well as
Mat	Matt
memberikan	give
masuk	enter
lamanya	long time
jangan	don't
jalan	road
berbicara	speak
tangan	hand
situ	there
demikian	so
perintah	order
pintu	door
sesuatu	something
menjawab	answer
mana	where
bisa	can
suku	tribe
terjadi	happened
hadapan	front
Paulus	Paul
menerima	accept
semuanya	everything
Luk	Luke
sekali	once
suatu	a
tetap	fixed
kepadaku	to me
mengatakan	say
begitu	so
keluar	out
pohon	tree
pemimpin	leader
boleh	can
mendapat	got
berbuat	do
depan	front
menyuruh	to order
mengambil	take
ialah	is
korban	victim
tiga	three
menurut	according to
hukum	law
sebelah	next to
binatang	animal
selalu	always
pernah	ever
gunung	mountain
malaikat	angel
kaum	race
anggur	grapes
kurban	sacrifice
mata	eyes
takut	afraid
kuasa	power
janganlah	don't
meninggalkan	leave
Mrk	Mark
anaknya	his child
berdiri	stand
tiba	arrive
beberapa	some
perbuatan	action
membunuh	kill
api	fire
pengikut	follower
belas	twelve
diberikan	given
daerah	district
bertanya	ask
emas	gold
padang	field
mezbah	altar
terus	continue
melalui	through
melawan	fight
roh	spirit
hai	hi
jika	if
kemudian	then
dekat	close
baru	new
langit	sky
siapa	who
kasih	love
sungguh	really
ajaran	teachings
penuh	full
keturunan	descendants
tujuh	seven
mulai	start
Yohanes	John
makanan	food
Taurat	Torah
ya	yes
itulah	that's it
bagian	part
Yakub	Jacob
sesuai	suitable
Kel	Come out
mengikuti	follow
sini	here
sebuah	a
malam	night
duduk	sit
haruslah	must be
luar	outside
kali	times
berjalan	walking
roti	bread
setia	loyal
milik	belongs to
dahulu	first
musuh	enemy
empat	four
tua	old
perkataan	word
Lewi	Levi
mengasihi	love
belum	not yet
berdoa	pray
kudus	holy
kerajaan	government
pertama	first
persembahan	presentation
sungai	river
darah	blood
lima	five
rasul	apostle
buah	fruit
rakyat	people
minum	drink
Ul	Old Testament
barang	goods
surga	heaven
suara	voice
berdosa	sinful
kayu	wood
Yusuf	Joseph
uang	money
wanita	woman
jemaat	church
dilakukan	done
burung	bird
mempersembahkan	present
mengenal	to know
menyembah	worship
salah	wrong
bawah	bottom
memanggil	call
nenek	grandmother
mendengarkan	listen
memerintah	to rule
bulan	moon
lama	old
tertulis	written
tentara	army
jantan	male
Harun	Aaron
bukit	hill
menunjukkan	show
Salomo	Solomon
sebelum	before
yakni	namely
sesudah	after
kuat	strong
perjanjian	agreement
tanpa	without
turun	down
mencari	looking for
dirinya	himself
pula	also
jauh	far away
tanda	sign
diam	be quiet
zaman	era
gerbang	gate
keluarga	family
perak	silver
penduduk	population
bernama	named
bani	children
berkatalah	say
apabila	when
apakah	what
merasa	feel
berhala	idol
pekerjaan	job
cara	way
kejahatan	crime
kematian	death
maupun	as well as
bahasa	language
daripada	from
gurun	desert
demikianlah	that's it
pulang	go home
menyelamatkan	save
pakaian	clothes
bekerja	work
menyerahkan	hand over
tubuh	body
seekor	one
katanya	he said
minta	ask
peraturan	rules
mengetahui	to know
jatuh	fall
hendak	want to
Ibrani	Hebrew
mengutus	send
laut	sea
muda	young
mengajar	teach
pedang	sword
pagi	morning
keras	hard
mengenai	about
bagaimana	how
dikatakan	it is said
memakai	wear
lakukan	do
gandum	wheat
Filistin	Philistine
kambing	goat
hukuman	punishment
datanglah	come
katakan	say
berarti	means
berada	be
kain	cloth
disebut	called
demi	for the sake of
segera	immediately
sakit	sick
menolong	help
Mzm	Psalms
menghadap	facing
minyak	oil
paling	most
masa	time
kaki	foot
tembok	wall
Yoh	John
mengadakan	hold
ingin	want
mengerti	understand
memberitahukan	inform
ribu	thousand
kira	think
dewa	god
berseru	exclaim
asing	foreign
Kej	Gen.
saat	moment
kemuliaan	glory
tinggi	high
lembu	cow
terang	bright
ketiga	third
janji	promise
menyampaikan	deliver
melayani	serve
Yosua	Joshua
anggota	member
pergilah	go away
kebun	garden
dirimu	yourself
dibunuh	killed
ayahnya	his father
ladang	farm
surat	letter
sambil	while
mungkin	maybe
kecil	small
Yordan	Jordan
memberitakan	preach
berita	news
timur	east
menderita	suffer
ibu	mother
dibuat	made
menghukum	punish
jawab	answer
berkumpul	gather
istana	palace
ahli	expert
secara	in a way
pasti	definitely
hendaklah	should
dibawa	brought
berusaha	try
bakaran	burnt
seseorang	someone
berperang	to fight
pasukan	team
mengangkat	lift
memang	indeed
berasal	comes from
bagimu	for you
saudaranya	his brother
menyerang	attack
sapi	cow
tiang	pole
ketujuh	seventh
Why	Why?
habis	finished
taat	obedient
naik	up
harfiah	literally
marah	angry
miskin	poor
melainkan	unless
berangkat	set off
ratus	hundred
setelah	after
ekor	tail
angin	wind
pesan	message
hasil	result
tangannya	his hand
patung	statue
ikut	follow
sejak	since
hatimu	your heart
ayah	father
bersalah	guilty
sedikit	a little
dihukum	punished
guru	teacher
bahkan	even
senang	happy
moyang	ancestor
kesalahan	mistake
suci	holy
membiarkan	let
suka	like
sebabnya	the reason
hatinya	his heart
tidur	sleep
saling	each other
meminta	ask
mengirim	send
biasa	normal
Kis	Case
rumahnya	his house
penguasa	ruler
matahari	sun
kaya	rich
awan	cloud
najis	feces
Bil	Bill
tiap	every
anakmu	your child
biarlah	let it be
meninggal	died
lari	run
mendirikan	establish
memuji	praise
mengumpulkan	collect
segenap	all
istri	wife
termasuk	including
daging	meat
kuda	horse
melepaskan	release
memberkati	bless
enam	six
kekuatan	strength
mendatangkan	bring
khusus	special
malu	shy
Mahakuasa	Almighty
kapal	ship
jadi	so
keselamatan	safety
Benyamin	Benjamin
harta	property
keajaiban	miracle
diperintahkan	ordered
budak	boy
utara	north
lemah	weak
agama	religion
dipakai	worn
sia	vain
kereta	car
waktunya	the time
menjadikan	make
berhenti	stop
hujan	rain
berkat	blessing
perlu	necessary
melahirkan	give birth
bersatu	united
Kanaan	Canaan
utusan	messenger
takhta	throne
sepuluh	ten
artinya	meaning
